"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"55087","Outagamie County, WI",".",".",".",".","0.08","0.067",".",".",".","22","8",".",".","."
"55089","Ozaukee County, WI",".",".",".",".","0.08","0.068",".",".",".","20","7.2",".",".","."
"55101","Racine County, WI",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"55105","Rock County, WI",".",".",".",".","0.07","0.067",".",".",".",".",".",".",".","."
"55111","Sauk County, WI",".",".",".",".","0.07","0.063",".",".",".","16","7.1","31","11","."
"55117","Sheboygan County, WI",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","0.11"
"55119","Taylor County, WI",".",".",".",".","0.07","0.061",".",".",".","17","6.4",".",".","."
"55121","Trempealeau County, WI",".",".",".",".",".",".",".",".",".",".",".","38","15","."
"55125","Vilas County, WI",".",".",".",".","0.07","0.06",".",".",".","14","4.6",".",".","."
"55127","Walworth County, WI",".",".",".",".","0.07","0.067",".",".",".",".",".",".",".","."
"55133","Waukesha County, WI",".",".",".",".","0.07","0.056",".",".",".","25","10","32","16","."
"56001","Albany County, WY",".",".",".",".","0.08","0.069",".",".",".","10","4.6","106","25","."
"56003","Big Horn County, WY",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"56005","Campbell County, WY",".",".","52","9","0.07","0.061","37","17","1","14","6.4","130","36","."
"56007","Carbon County, WY",".",".","43","8","0.06","0.059","32","11","3","5","1.5","8","5","."
"56009","Converse County, WY",".",".","36","4","0.08","0.067",".",".",".","8","3.3","75","31","."
"56013","Fremont County, WY","0.6","0.4","7","1","0.07","0.066",".",".",".","29","7.8","39","16","."
"56021","Laramie County, WY","0.4","0.3","37","4","0.08","0.069","6","2","0","12","4.6","38","12","."
"56023","Lincoln County, WY",".",".",".",".",".",".",".",".",".",".",".","120","25","."
"56025","Natrona County, WY",".",".","36","6","0.08","0.065","38","18","2","13","4.3","38","16","."
"56029","Park County, WY",".",".",".",".",".",".",".",".",".","15","4.3","31","11","."
"56031","Platte County, WY",".",".",".",".",".",".",".",".",".",".",".","60","19","."
"56033","Sheridan County, WY",".",".",".",".","0.06","0.058",".",".",".","18","7","52","17","."
"56035","Sublette County, WY",".",".","17","2","0.07","0.066",".",".",".","13","4.8","53","8","."
"56037","Sweetwater County, WY",".",".","38","4","0.08","0.067","29","6","3","12","5.1","168","27","."
"56039","Teton County, WY","1.8","0.7",".",".","0.07","0.063",".",".",".","11","4.9","47","14","."
"56041","Uinta County, WY",".",".","14","2","0.07","0.065",".",".",".",".",".","42","9","."
"56045","Weston County, WY",".",".",".",".","0.07","0.067","6","1","0",".",".",".",".","."
"72001","Adjuntas Municipio, PR",".",".",".",".",".",".",".",".",".","13","4.7",".",".","."
"72013","Arecibo Municipio, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","2.5"
"72021","Bayamon Municipio, PR","5","1.3",".",".",".",".","428","186","3","12","5.2",".",".","0.01"
"72033","Catano Municipio, PR",".",".",".",".","0.03","0.027","89","14","2",".",".","70","24","."
"72053","Fajardo Municipio, PR",".",".",".",".",".",".",".",".",".",".",".","56","23","."
"72057","Guayama Municipio, PR",".",".",".",".",".",".",".",".",".","12","4.8","52","21","."
"72059","Guayanilla Municipio, PR",".",".",".",".",".",".",".",".",".","10","4.9",".",".","."
"72061","Guaynabo Municipio, PR",".",".",".",".",".",".",".",".",".","13","6.9","78","30","."
"72069","Humacao Municipio, PR",".",".",".",".",".",".",".",".",".","10","4.3",".",".","."
"72077","Juncos Municipio, PR",".",".",".",".","0.04","0.034","10","2","0",".",".",".",".","."
"72097","Mayagnez Municipio, PR",".",".",".",".",".",".",".",".",".","11","5.4",".",".","."
"72113","Ponce Municipio, PR","7.9","2.1",".",".",".",".",".",".",".","12","5.8","68","30","."
"72123","Salinas Municipio, PR",".",".",".",".",".",".","30","11","4",".",".",".",".","0.04"
"72127","San Juan Municipio, PR","9.5","2.7",".",".",".",".",".",".",".",".",".",".",".","."
"78010","St Croix, VI",".",".",".",".",".",".","15","3","2","3","3.1","83","43","."
